"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"LENOVO FRANCE",1,"Industrie high-tech, Telecom",NA,"",NA,"40"
"WEWYSE",2,"Média, Internet, Communication",2,"Anglais",NA,"75"
"OCTOPUS IT",1,"Secteur informatique, ESN",NA,"",NA,"75"
"LACOSTE",1,"Distribution, Commerce de gros",NA,NA,NA,"75"
"MALT",1,"Services aux Entreprises",0,"",NA,"75"
"WAVESTONE",2,"Services aux Entreprises",0,"équipe, Git, Tableau",NA,"75"
"HAVAS GROUP",2,"Média, Internet, Communication",7,"Bases de donnée, équipe, Excel, Rigueur",NA,"92"
"EUROFINS",2,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"Communication, Excel",NA,"2"
"INRIA",3,"Service public des collectivités territoriales, Service public d'état, Service public autres",NA,"Collaboration, équipe, Excel, Git, Programming, Python",NA,"13"
"AXEREAL",1,"Industrie Agro-alimentaire",NA,"",NA,"45"
"FIDAL",1,"Secteur informatique, ESN",0,"",NA,"75"
"NISSAN",1,"Industrie Auto, Meca, Navale",NA,"",NA,"78"
"CRÉDIT AGRICOLE CENTRE LOIRE",1,"Banque, Assurance, Finance",0,"",NA,"45"
"GRANT THORNTON",1,"Secteur informatique, ESN",0,"",NA,"92"
"PIGMENT",1,"Secteur informatique, ESN",NA,"Deep Learning",NA,NA
"UPTOO",7,"Services aux Entreprises",NA,"Reporting",45000,"13"
"PARTNAIRE",1,"Services aux Entreprises",7,"",55000,"45"
"CAPGEMINI",16,"Secteur informatique, ESN",1.33,"Anglais, AWS, Azure, Collaboration, équipe, Excel, Git, Google Cloud, Intelligence artificielle, modélisation, Reporting, Spark, SQL",NA,"44"
"FORTUNEO",1,"Banque, Assurance, Finance",NA,"",NA,"29"
"CRÉDIT AGRICOLE CHAMPAGNE BOURGOGNE",2,"Banque, Assurance, Finance",1,"Bases de donnée, Collaboration, équipe, modélisation",45000,"21"
"SIZE UP CONSULTING",2,"Secteur informatique, ESN",7,"équipe, Gestion de Projets",NA,"75"
"EVOTEO CONSULTING",4,"Services aux Entreprises",1,"AWS, équipe, Python, Rapport, Spark, SQL, Tableau",41000,"69"
"LE TÉLÉGRAMME",4,"Média, Internet, Communication",1,"Collaboration, équipe, Git",40000,"29"
"ASTEK",33,"Secteur informatique, ESN",4.33,"Autonome, Autonôme, AWS, Azure, Communication, Curiosité, Dataviz, équipe, Git, Hadoop, modélisation, Power BI, Proactif, Python, Spark, SQL",NA,"75"
"PIXIE SERVICES FRANCE",4,"Secteur informatique, ESN",7,"Bases de donnée, C++, Collaboration, équipe, Hadoop, Programmation, Python, Spark, SQL, Statistique",NA,"59"
"ACII BY AUDENSIEL",2,"Secteur informatique, ESN",1,"équipe, modélisation",35000,"44"
"MAESTRIA",2,"Services aux Entreprises",1,"Azure, équipe, Intelligence artificielle, Programming, Python, Spark",45000,"6"
